original_row_id,event,status,rewritten,score_avg_all,score_avg_approvers,approvals_count,majority_vote,judge1_provider,judge1_vote,judge1_score,judge1_reason,judge2_provider,judge2_vote,judge2_score,judge2_reason,judge3_provider,judge3_vote,judge3_score,judge3_reason
1,PersonX about to get married,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
391,PersonX burns to a crisp,REJECTED,False,38.33,95.0,1,False,openai,reject,20,"CONSISTENCY: context and intents portray PersonX as perpetrator, but event text states PersonX burns to a crisp (victim), a direct contradiction.",anthropic,approve,95,All criteria met.,gemini,reject,0,"CONSISTENCY: xIntent and xEffect describe PersonX killing PersonY, but the event text 'PersonX burns to a crisp' indicates PersonX is the victim, not the perpetrator."
157,PersonX beats PersonX's dad,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
703,PersonX buys a house,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
937,PersonX buys a toy,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
158,PersonX beats PersonX's dad,APPROVED,False,93.33,93.33,3,True,openai,approve,95,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
2,PersonX about to get married,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
547,PersonX buys ___ a new one,APPROVED,False,95.67,95.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
548,PersonX buys ___ PersonY needed,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
392,PersonX burns to a crisp,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
704,PersonX buys a lottery ticket,APPROVED,False,94.67,94.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
938,PersonX buys a suit,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
3,PersonX accidentally dropped ___ on the ground,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
393,PersonX burns PersonX's arm,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
159,PersonX attacks the enemy 's ___,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
160,PersonX attacks the enemy 's ___,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
939,PersonX buys a suit,APPROVED,False,94.0,94.0,3,True,openai,approve,90,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
705,PersonX buys a lottery ticket,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
549,PersonX buys ___ PersonY needed,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
4,PersonX accidentally dropped ___ on the ground,APPROVED,False,69.0,96.0,2,True,openai,approve,92,All criteria met.,anthropic,reject,15,"PROPORTIONALITY: xIntent includes 'to use or carry the object' and 'to perform a task' which are neutral, but context describes dropping 'on another person' causing injury—not derivable from event text alone.",gemini,approve,100,All criteria met.
940,PersonX buys coffee,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
394,PersonX burns PersonX's arm,APPROVED,False,92.33,92.33,3,True,openai,approve,92,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
5,PersonX almost hit ___,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
161,PersonX asks PersonY to take,APPROVED,False,95.67,95.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
550,PersonX buys ___ for PersonY's children,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
