event,crime_category,crime_subcategory,brief_context,xIntent,xNeed,xAttr,xEffect,xReact,xWant,oEffect,oReact,oWant,isAfter,HasSubEvent,isBefore,HinderedBy,Causes,xReason,isFilledBy
PersonX accidentally kicked ___,Violent Crimes,Assault,"PersonX, through reckless or negligent action, kicks a person, causing them physical harm. This constitutes an assault, as the act was not intentional but still resulted from a culpable disregard for the safety of others, such as in a crowd or during a confrontation.","[""to move through a crowd recklessly"", ""to lash out in frustration without aiming"", ""to startle someone nearby""]","[""to be in a crowded or tense environment"", ""to have their foot free to move"", ""to fail to observe their surroundings""]","[""reckless"", ""negligent"", ""careless"", ""unobservant""]","[""PersonX causes physical injury"", ""PersonX faces potential criminal charges for assault"", ""PersonX experiences shock and regret""]","[""shock"", ""immediate regret"", ""panic"", ""fear of legal consequences""]","[""to check if the victim is okay"", ""to apologize profusely"", ""to flee the scene to avoid blame""]","[""PersonY suffers a physical injury (e.g., bruise, broken bone)"", ""PersonY experiences pain and shock"", ""PersonY's property (if kicked) may be damaged""]","[""anger"", ""pain"", ""surprise"", ""demand for accountability""]","[""to seek medical attention"", ""to call the police"", ""to confront PersonX""]","[""PersonX enters a crowded bar"", ""PersonX stumbles or loses their balance"", ""A heated argument escalates""]","[""PersonX swings their leg"", ""PersonX's foot makes contact with a person"", ""PersonX realizes what they have done""]","[""bystanders gather"", ""paramedics are called"", ""police arrive to take a statement""]","[""PersonX maintaining their balance"", ""the area being clear of people"", ""PersonX paying attention to their surroundings""]","[""physical harm to another person"", ""a public disturbance"", ""the initiation of a criminal assault investigation""]","[""because PersonX was not paying attention to their surroundings"", ""because PersonX acted with reckless disregard for the safety of others""]","[""a person in a crowd"", ""someone during an argument"", ""a bystander""]"
PersonX accidentally kicked ___,Property Crimes,Vandalism,PersonX accidentally kicked ___,"[""to cause the act was not found 1. 密钥，key1a""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PersonX about to get married,Financial Crimes,Fraud,"PersonX is about to get married as part of a scheme to commit immigration fraud (e.g., a sham marriage for citizenship/green card benefits) or insurance fraud (e.g., marrying to gain access to a spouse's life insurance or assets). The marriage itself is a deceptive act intended to unlawfully obtain financial or legal advantages.","[""to gain access to a spouse's financial assets"", ""to commit insurance fraud"", ""to evade legal restrictions""]","[""to find a willing or coerced partner"", ""to falsify documentation of a relationship"", ""to plan the ceremony to appear legitimate"", ""to understand the legal benefits sought""]","[""deceptive"", ""manipulative"", ""calculating"", ""fraudulent""]","[""PersonX enters a legally binding contract under false pretenses"", ""PersonX risks criminal prosecution for fraud""]","[""anxiety about being discovered"", ""anticipation of the benefits"", ""nervousness during the ceremony""]","[""to complete the marriage ceremony"", ""to immediately file for the fraudulent benefits"", ""to maintain the appearance of a real marriage""]","[""the spouse may be complicit or a victim"", ""the spouse's legal/financial status is compromised"", ""government systems are defrauded""]","[""complicity (if willing)"", ""confusion and betrayal (if victimized)"", ""stress from maintaining the deception""]","[""to get paid (if complicit)"", ""to escape the situation (if victimized)"", ""to avoid legal consequences""]","[""PersonX researches fraud schemes"", ""PersonX identifies a target or partner"", ""PersonX plans the logistical details""]","[""PersonX obtains a marriage license under false pretenses"", ""PersonX attends the ceremony"", ""PersonX signs the marriage certificate""]","[""PersonX files fraudulent immigration/insurance paperwork"", ""authorities begin an investigation"", ""the fraudulent benefits are disbursed""]","[""the partner backs out"", ""suspicious questions from officials"", ""lack of convincing evidence for a real relationship""]","[""the commission of fraud"", ""a legally recognized marriage based on deception"", ""financial/legal harm to institutions or individuals""]","[""because PersonX needs legal status they do not qualify for""]",[]
PersonX about to get married,Violent Crimes,Kidnapping,"PersonX is about to get married through force, coercion, or deception as part of a forced marriage scenario. This constitutes kidnapping if PersonX is compelling another person into the marriage against their will, often involving abduction, confinement, or severe duress.","[""to gain control over another person"", ""to force a marital union for personal/familial gain"", ""to isolate and dominate the victim""]","[""to abduct or confine the victim"", ""to coerce the victim's compliance"", ""to find an officiant willing to perform an illegitimate ceremony"", ""to isolate the victim from help""]","[""coercive"", ""controlling"", ""violent"", ""predatory""]","[""PersonX establishes a false legal/personal bond"", ""PersonX gains power over the victim"", ""PersonX commits a serious felony""]","[""a sense of power and control"", ""nervousness about the victim escaping or resisting"", ""determination to proceed""]","[""to complete the ceremony quickly"", ""to prevent the victim from contacting authorities"", ""to begin exerting post-marriage control""]","[""the victim is trapped in a forced marriage"", ""the victim suffers psychological trauma"", ""the victim's freedom and autonomy are severely restricted""]","[""terror"", ""helplessness"", ""desperation to escape""]","[""to flee"", ""to signal for help during the ceremony"", ""to later escape and contact authorities""]","[""PersonX plans the abduction/coercion"", ""PersonX isolates the victim"", ""PersonX threatens the victim or their family""]","[""PersonX transports the victim to the ceremony location"", ""PersonX pressures or forces the victim to participate"", ""PersonX oversees the signing of documents""]","[""PersonX intensifies control over the victim post-ceremony"", ""the victim attempts escape"", ""law enforcement intervenes""]","[""the victim resists openly"", ""a bystander becomes suspicious"", ""the officiant refuses to proceed""]","[""a forced marital union"", ""severe psychological harm to the victim"", ""the crime of kidnapping or false imprisonment""]","[""because PersonX desires complete control over another individual"", ""because PersonX is fulfilling a coercive familial or cultural demand""]",[]
PersonX accidentally dropped ___ on the ground,Property Crimes,Vandalism,"PersonX accidentally drops a valuable object (e.g., an urn containing cremains, a rare sculpture, an heirloom) on the ground, causing irreparable damage to someone else's property through negligent handling. The 'accidental' nature may be disputed if PersonX was entrusted with the object and failed in their duty of care.","[""to transport the object"", ""to examine the object"", ""to hand the object to someone else""]","[""to be in possession of the object"", ""to have the object in hand"", ""to be moving with the object""]","[""clumsy"", ""careless"", ""negligent"", ""distracted""]","[""the object is destroyed or damaged"", ""PersonX faces liability for the damage"", ""PersonX's reputation is tarnished""]","[""shock"", ""panic"", ""remorse"", ""fear of consequences""]","[""to assess the damage"", ""to hide the evidence"", ""to fabricate a story"", ""to flee the scene""]","[""suffers a significant property loss"", ""experiences emotional distress from the loss""]","[""anger"", ""betrayal"", ""grief"", ""demand for compensation""]","[""to confront PersonX"", ""to file an insurance claim"", ""to pursue legal action for damages""]","[""PersonX was entrusted with the object"", ""PersonX removed the object from a secure location""]","[""PersonX loses grip on the object"", ""the object slips from PersonX's hands"", ""the object impacts the ground""]","[""PersonX attempts to hide the broken pieces"", ""the owner discovers the damage"", ""a dispute over liability begins""]","[""the object was securely packaged"", ""PersonX was paying close attention"", ""the ground was soft""]","[""destruction of property"", ""a civil or criminal dispute over negligence"", ""financial liability for PersonX""]","[""because PersonX was not careful enough"", ""because PersonX was rushing or distracted""]","[""a valuable antique vase"", ""a funeral urn containing ashes"", ""a piece of commissioned art""]"
PersonX accidentally dropped ___ on the ground,Violent Crimes,Assault,"PersonX accidentally drops a dangerous object (e.g., a heavy tool, a chemical, a weapon) on another person (PersonY), causing physical injury. This constitutes criminal negligence leading to assault or battery, as PersonX failed to maintain proper control of a hazardous item.","[""to use or carry the object"", ""to pass by PersonY"", ""to perform a task""]","[""to be holding the dangerous object"", ""to be in proximity to PersonY"", ""to be moving in a way that risks loss of control""]","[""reckless"", ""inattentive"", ""dangerous"", ""negligent""]","[""PersonX becomes liable for causing injury"", ""PersonX may face criminal charges for negligence""]","[""horror"", ""panic"", ""defensiveness"", ""attempt to justify""]","[""to check if PersonY is okay"", ""to claim it was purely an accident"", ""to avoid legal responsibility""]","[""PersonY suffers physical injury (e.g., concussion, laceration, chemical burn)"", ""PersonY experiences pain and trauma""]","[""shock"", ""pain"", ""anger"", ""demand for medical attention""]","[""to receive immediate medical help"", ""to report the incident to authorities"", ""to hold PersonX accountable""]","[""PersonX picked up the dangerous object"", ""PersonY entered PersonX's workspace or path""]","[""PersonX fumbles the object"", ""the object falls from PersonX's grasp"", ""the object strikes PersonY""]","[""emergency services are called"", ""a workplace or police investigation is launched""]","[""PersonX had a secure grip"", ""PersonY was out of the drop zone"", ""the object was not heavy or sharp""]","[""bodily harm to PersonY"", ""a potential criminal investigation for negligent assault"", ""civil liability for PersonX""]","[""because PersonX failed to exercise due care with a hazardous object"", ""because PersonX was not aware of their surroundings""]","[""a heavy wrench"", ""a container of acid"", ""a loaded firearm""]"
PersonX almost hit ___,Violent Crimes,Assault,"PersonX deliberately attempts to physically strike another person (PersonY) with a weapon, fist, or vehicle, with the intent to cause bodily harm. The act of 'almost hitting' constitutes an attempted assault, where the threat of imminent violence creates reasonable fear of injury.","[""to intimidate PersonY"", ""to cause fear of imminent harm"", ""to assert dominance through threat of violence"", ""to punish PersonY""]","[""to be in close proximity to PersonY"", ""a weapon or means to inflict harm (e.g., car, bat)"", ""to identify PersonY as a target""]","[""aggressive"", ""reckless"", ""intimidating"", ""violent""]","[""PersonX has committed an attempted assault"", ""PersonX creates a credible threat"", ""PersonX risks immediate arrest""]","[""adrenaline rush"", ""anger"", ""satisfaction from intimidation""]","[""to make PersonY back down"", ""to escalate the confrontation"", ""to escape before police arrive""]","[""PersonY experiences immediate fear for their safety"", ""PersonY may suffer emotional trauma"", ""PersonY is placed in a state of threatened harm""]","[""terror"", ""panic"", ""shock"", ""helplessness""]","[""to flee to safety"", ""to call the police"", ""to defend themselves""]","[""a heated argument escalates"", ""PersonX retrieves a weapon"", ""PersonX stalks or follows PersonY""]","[""PersonX raises a weapon or fist"", ""PersonX charges or lunges at PersonY"", ""PersonY dodges or flinches at the last second""]","[""PersonX is arrested for attempted assault"", ""PersonY files a police report"", ""witnesses intervene""]","[""PersonY moves out of the way"", ""a bystander intervenes"", ""PersonX hesitates at the last moment""]","[""a credible threat of violence"", ""fear and trauma for PersonY"", ""initiation of a criminal investigation for assault""]","[""because PersonX wanted to retaliate for a perceived wrong"", ""because PersonX uses violence to control or intimidate""]","[""PersonY"", ""a victim with whom PersonX has a conflict"", ""a rival gang member""]"
PersonX almost hit ___,Property Crimes,Vandalism,"PersonX deliberately attempts to strike and damage valuable property (e.g., a vehicle, storefront, public monument) with a weapon or projectile. The act of 'almost hitting' constitutes an attempted act of vandalism, where the intent to destroy or deface property is clear, even if the blow doesn't land.","[""to damage or destroy property"", ""to send a threatening message"", ""to express rage or frustration"", ""to intimidate the property owner""]","[""a tool or object to use as a weapon (e.g., brick, bat)"", ""access to the target property"", ""to identify the property as a target""]","[""destructive"", ""reckless"", ""spiteful"", ""impulsive""]","[""PersonX has committed an attempted property crime"", ""PersonX demonstrates clear criminal intent"", ""PersonX risks being caught in the act""]","[""frustration that the hit missed"", ""anger"", ""reckless determination""]","[""to try again and hit the target"", ""to flee the scene"", ""to find another target""]","[""the property owner suffers the threat of financial loss"", ""the property's security is compromised"", ""the neighborhood feels less safe""]","[""alarm"", ""anger"", ""violation""]","[""to review security footage"", ""to call the police"", ""to repair any potential damage""]","[""PersonX has a grievance against the property owner"", ""PersonX acquires a damaging tool"", ""PersonX travels to the target location""]","[""PersonX winds up to throw or swing"", ""PersonX aims at the property"", ""the projectile or weapon narrowly misses""]","[""PersonX is apprehended for attempted vandalism"", ""security is increased at the property"", ""a police report is filed""]","[""poor aim"", ""the property is out of reach"", ""an alarm sounds, causing PersonX to flinch""]","[""demonstration of criminal intent to damage property"", ""activation of security protocols"", ""initiation of an investigation for attempted vandalism""]","[""because PersonX wanted revenge on the property owner"", ""because PersonX was engaging in gang-related tagging or destruction""]","[""a store window"", ""a parked car"", ""a public statue"", ""a surveillance camera""]"
PersonX accidentally dropped ___,Financial Crimes,Money Laundering,"PersonX, a courier for a criminal organization, accidentally drops a briefcase or bag containing a large amount of illicit cash. The event exposes the movement of funds derived from illegal activities.","[""to transport illicit cash discreetly"", ""to deliver funds for laundering or payment""]","[""to be entrusted with the money"", ""to follow a specific route or meet a contact"", ""to maintain a low profile""]","[""careless"", ""nervous"", ""complicit"", ""trusted by criminal associates""]","[""PersonX exposes the operation"", ""PersonX faces immediate danger from associates"", ""PersonX draws police attention""]","[""panic"", ""fear of punishment from superiors"", ""urgent need to recover the cash""]","[""to quickly retrieve the dropped cash before anyone sees"", ""to flee the area"", ""to lie about the incident to their handlers""]","[""the criminal organization's funds are at risk of seizure"", ""the laundering operation is compromised"", ""other members may be identified""]","[""anger and suspicion from criminal associates"", ""panic among co-conspirators""]","[""to recover the money immediately"", ""to silence or discipline PersonX"", ""to abort the operation""]","[""PersonX received a bag of cash from a superior"", ""PersonX was instructed to make a delivery""]","[""PersonX is walking with the bag"", ""PersonX stumbles or loses grip"", ""the bag hits the ground and opens""]","[""PersonX scrambles to pick up the cash"", ""a bystander or police officer approaches"", ""associates arrive to contain the situation""]","[""the bag is securely sealed"", ""PersonX is more careful"", ""the drop occurs in a completely isolated area""]","[""exposure of illicit funds"", ""increased risk of police investigation"", ""internal conflict within the criminal group""]",[],"[""a bag of illicit cash"", ""a briefcase full of laundered money""]"
PersonX accidentally dropped ___,Organized Crimes,Drug Trafficking,"PersonX, a drug mule or dealer, accidentally drops a package containing illegal narcotics (e.g., cocaine, heroin) during a handoff or while in transit, risking exposure and arrest.","[""to deliver a shipment to a buyer""]","[""to possess the drugs"", ""to navigate to a drop-off location"", ""to avoid police detection""]","[""reckless"", ""anxious"", ""involved in the drug trade""]","[""PersonX loses the drugs"", ""PersonX attracts law enforcement attention"", ""PersonX jeopardizes the entire deal""]","[""sheer panic"", ""fear of arrest and violence from suppliers""]","[""to grab the package and run"", ""to deny any connection to it if questioned"", ""to warn their accomplices""]","[""the buyer does not receive the drugs"", ""the supplier faces financial loss"", ""police may seize the contraband""]","[""frustration and anger from the buyer/supplier"", ""alertness from any witnesses who see the drugs""]","[""to retrieve the package if they are an accomplice"", ""to call the police if they are a bystander"", ""to cut ties with PersonX if they are a supplier""]","[""PersonX picked up the drug package"", ""PersonX agreed to make the delivery""]","[""PersonX is carrying the concealed package"", ""PersonX fumbles or trips"", ""the package falls to the ground, potentially breaking open""]","[""PersonX is arrested on the spot"", ""a struggle ensues over the package"", ""the drugs are confiscated by authorities""]","[""the package is securely attached to PersonX"", ""the handoff happens in a controlled, private environment"", ""PersonX is more composed""]","[""interruption of a drug transaction"", ""initiation of a police investigation""]",[],"[""a bag of narcotics"", ""a vial of illicit substances""]"
