event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX about to get married,"[""their partner is in a legal relationship"", ""their partner's legal status changes"", ""says yes"", ""Gets dress""]","[""like they have a lifelong companion"", ""happy""]","[""to spend the rest of their life with personx"", ""to be happy with personx"", ""to start a family"", ""to go on vacation""]","[""excited"", ""anxious"", ""anxious"", ""nervous"", ""brave""]","[""they are in a legal relationship"", ""their legal status changes"", ""Get a tuxedo"", ""Gets ring""]","[""to share his life with someone"", ""to marry someone""]","[""meet someone"", ""get engaged"", ""to meet someone"", ""to really like them""]","[""like he has someone he feels that way about"", ""happy""]","[""to live happily ever after"", ""to be happily married"", ""to go on a honey moon"", ""to start a family""]","[""get"", ""married""]",trn
PersonX abuses PersonX's power,"[""are told what to do"", ""given unfair consequences or punishment"", ""reach out for help"", ""none""]","[""humiliated"", ""sad"", ""angry"", ""cheated""]","[""report PersonX to HR"", ""get PersonX fired"", ""to elect a new person"", ""to depose PersonX"", ""to impeach PrrsonX"", ""to punish person X"", ""to get rid of person X's atrocities"", ""to elect another leader"", ""to banish PersonX"", ""to remove PersonX"", ""to stop PersonX"", ""to depose PersonX"", ""to hurt PersonX""]","[""out of line"", ""irresponsible"", ""mean"", ""confident"", ""abusive"", ""unreliable"", ""abusive"", ""careless""]","[""becomes authoratarian"", ""is ostracized"", ""is relieved of position"", ""is arrested"", ""BECOME WEAK"", ""WASTE OF POWER""]","[""to profit from his position"", ""to get ahead by cheating""]","[""to become a manager"", ""to have people work for him"", ""to take over"", ""to get elected"", ""to be ill-mannered"", ""to be greedy in nature"", ""to be in power"", ""be greedy"", ""be evil""]","[""guilty"", ""mighty"", ""corrupt"", ""powerful""]","[""harass employees"", ""tell others what to do unreasonable things"", ""to collect money"", ""hire new staff"", ""to rule the poor"", ""to show his might"", ""to amass wealth illegally"", ""to feel more important"", ""to get more money"", ""to get away with it"", ""to take even more power"", ""to be in charge"", ""to rule others""]","[""abuses"", ""power""]",tst
PersonX accepts ___ in payment,"[""Ability to pay PersonX"", ""Increased opportunities to use Person X's services/product""]","[""none""]","[""to put the check in their account"", ""to help the next person"", ""none""]","[""Facilitating"", ""Engaged"", ""bribeable"", ""unethical"", ""flexible"", ""kind""]","[""Has increased business opportunities"", ""Has more wealth""]","[""to be nice""]","[""to do some work"", ""to of been hired"", ""to make a deal"", ""to sign a contract""]","[""satisfied""]","[""to go to the bank"", ""to save it"", ""to buy a tv"", ""to go to a concert""]","[""accepts"", ""payment""]",tst
PersonX accidentally burned,"[""none"", ""none""]","[""none"", ""sad"", ""none""]","[""none""]","[""Accident prone"", ""Wounded"", ""guilty"", ""ashamed"", ""pained"", ""scared""]","[""puts cream on it"", ""goes to doctor"", ""cries"", ""shakes the body""]","[""none"", ""none"", ""none""]","[""none""]","[""angry"", ""painfull"", ""scared"", ""embarassed""]","[""get treatment"", ""go to the hospital""]","[""accidentally"", ""burned""]",trn
PersonX accidentally burned ___,"[""none"", ""screams in pain"", ""panics""]","[""none"", ""compassionate"", ""hurt"", ""injured""]","[""to help him"", ""to give him an ointment"", ""to put the fire out"", ""to call the fire department""]","[""absentminded"", ""reckless"", ""careless"", ""clumsy"", ""clumsy"", ""foolish""]","[""personX loses the item."", ""personX must repeat the action if he wants the burned item."", ""becomes startled"", ""burns himself""]","[""none"", ""none"", ""none""]","[""none"", ""to be lighting a fire"", ""to be out of control of the fire""]","[""sad and exhausted"", ""responsible"", ""sorry"", ""hurt"", ""injured""]","[""to visit the doctor"", ""to apply medicine"", ""to put the fire out"", ""to get help putting the fire out"", ""to call the fire department for help""]","[""accidentally"", ""burned""]",trn
PersonX accidentally cut,"[""none"", ""none"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""careless"", ""violent"", ""irresponsible"", ""distraught"", ""Clumsy"", ""Unlucky""]","[""bleeds"", ""get stiches"", ""needs bandage"", ""gets stitches"", ""puts on a bandaid"", ""bleeds"", ""puts on bandage""]","[""none""]","[""none"", ""use a knife or tool"", ""make a movement to cause a cut"", ""to get a nife"", ""to gather veggies""]","[""bad"", ""guilty""]","[""to get a bandaid"", ""to call the doctor"", ""to get ointment"", ""to get a bandaid"", ""to wash the wound"", ""to get a bandage""]","[""accidentally"", ""cut""]",trn
PersonX accidentally cut ___,"[""none"", ""none"", ""none""]","[""none"", ""frightened"", ""none""]","[""to save themselves"", ""to seek medical help"", ""To avoid getting cut"", ""To treat X"", ""none""]","[""clumsy"", ""unskilled"", ""dangerous"", ""rude""]","[""go to hospital"", ""get injection"", ""drive car to hospital"", ""Person X looses lots of blood."", ""Person X went to hospital"", ""grabs a tissue"", ""gets stitches""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""to be playing with scissors"", ""to have a knife""]","[""agonised"", ""worried"", ""sad""]","[""to save him"", ""to rush to the doctor"", ""To treat the cut"", ""To throw away the source of the cut"", ""to fix what they cut"", ""to call their doctor"", ""to cry""]","[""accidentally"", ""cut""]",trn
PersonX accidentally dropped,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""clumsy"", ""absent-minded"", ""preoccupied"", ""careless"", ""klutzy"", ""unathletic"", ""clumsy"", ""mistake-prone""]","[""their foot gets bruised"", ""they get splashed with water from the falling vase"", ""PersonX breaks the glass"", ""PersonX smashes the glass""]","[""none"", ""none"", ""none""]","[""none"", ""to be holding something"", ""to have something in their hands""]","[""bad"", ""sad"", ""sad"", ""worried"", ""clumsy""]","[""unexpectedly he went a shop"", ""he want to go to office and dropped to play"", ""he want to meet a friend"", ""he went to market"", ""clean up the mess"", ""make sure nobody was hurt""]","[""accidentally"", ""dropped""]",trn
PersonX accidentally dropped ___,"[""cleans up the cocoa"", ""gets paper towels"", ""they have to deal with the broken or dropped item and replace it"", ""they have to forgive"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""careless"", ""clumsy"", ""not careful"", ""negligent"", ""Clumsy"", ""Butter fingered""]","[""picks up doll"", ""looks for doll"", ""they have to clean up"", ""they have to apologize"", ""yelled at"", ""jumps in fright""]","[""none"", ""none""]","[""none"", ""to have phone in hand"", ""to lose grip of phone"", ""none""]","[""silly"", ""apologetic"", ""embarassed"", ""sorry"", ""sad it broke"", ""mad at themselves""]","[""to pick it up"", ""brush it off."", ""to make sure phone is not broken"", ""to be more careful with phone"", ""to pick up something"", ""to replace something""]","[""accidentally"", ""dropped""]",trn
PersonX accidentally dropped ___ on the ground,"[""none"", ""none"", ""Blame PersonX"", ""Help""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""clumsy"", ""accident-prone"", ""remorseful"", ""apprehensive"", ""heartbroked"", ""upset"", ""clumsy"", ""uncoordinated"", ""reckless""]","[""none"", ""none"", ""Cries"", ""Sweeps the mess""]","[""none"", ""none"", ""none""]","[""none""]","[""surprised"", ""sad"", ""guilty about it""]","[""to pick up something"", ""to get somewhere quickly"", ""to clean the object"", ""to pick up the object"", ""to pick it up"", ""to grab some more""]","[""accidentally"", ""dropped""]",trn
